,created_at,id,text
0,2022-03-31T10:59:35.000Z,1509485554345431041,"I wrote a little poem to summarize a notable event. 

Hitch Bitch
***********
The man once known as hitch
Is now a cuck slapping folks like a bitch
But alas, because he is filthy rich,
Teary eyed excuses get him off without a hitch

#poetry #Oscars2022"
1,2022-03-31T10:58:51.000Z,1509485367686307848,@MirrorCeleb If it was fake maybe in future at the #Oscars they'll have an #Oscar for Best Impersonation of Feeling Hurt at an awards ceremony. #Oscars2022 #WillSmith #JadaPinkettSmith #ChrisRock
2,2022-03-31T10:58:18.000Z,1509485229085495299,"Will Smith helped his fragile sickly black womxn spouse and is being ridiculed for it.  Make it make sense

#OscarsSoWhite #Oscars2022 #JadaPinkettSmith #WillSmith #WillAndChris"
3,2022-03-31T10:58:01.000Z,1509485159258767365,"So the aggressor says he won't leave the venue...the Academy won't enforce it. They just don't care enough. Poor Chris Rock 💔
#WillSmithAssault #Oscars2022"
4,2022-03-31T10:56:38.000Z,1509484812532437001,I've never seen such a stink made over a joke that wasn't even funny 20 years ago when it was semi-original. #Oscars2022
5,2022-03-31T10:54:28.000Z,1509484265402245122,"@TheAcademy it will take until 4/18 to come to a decision about #WillSmith ? What other decision could you possibly make?  Ban him, revoke the award &amp; be done with it!  He assaulted @chrisrock A slap on the wrist isn’t going to work. Not in today’s climate.  #Oscars2022 #Oscars"
6,2022-03-31T10:52:15.000Z,1509483707983437825,@MirrorCeleb Do you think #WillSmith would have been so keen to slap a white host of the #Oscars ? Would have #RickyGervais for example gotten away with telling the same joke? #Oscars2022 #JadaPinkettSmith #Alopecia
7,2022-03-31T10:49:49.000Z,1509483094902022153,"Will Smith Chris rock (with a slap)?

It was written in the stars 🤣

#WillSmith #ChrisRock #TheOscars  #Oscars2022 #willsmithchrisrock"
8,2022-03-31T10:47:38.000Z,1509482547155189762,"@JonLemire @lorrieirbyj Who cares? Funny how no official is leaking stories about how Chris disrespected black women w his so-called joke. No one is calling for apology to black women or Jada. Disrespecting black women is not violation? Actually, it’s obvious, isn’t it? #Oscars2022 #Oscars"
9,2022-03-31T10:44:06.000Z,1509481659099398145,@ChigozieObi_ Lol...still struggling to watch that #Oscars2022 mess
10,2022-03-31T10:43:17.000Z,1509481449975689217,"I don’t know what y’all see, but I see one black man slapping another black man in Oscar history. That has been made entertainment for the world to see. Disappointed 💔 #Oscars2022 #Oscars #willsmithchrisrock"
11,2022-03-31T10:35:29.000Z,1509479489482461195,@Variety The #Oscars2022 should take back the oscar from #WillSmith for his egregious behavior last week.  The police should file assault charges bc it's all on tape.  We should NEVER let assault go without consequences. #ChargeWillSmith
12,2022-03-31T10:31:09.000Z,1509478397591834624,"@willsmith You have more people to punch buddy! @chrisrock should have known better. The Oscars isn't a roast show, and yet we the viewers have to put up with that and it's disgusting. @TheAcademy #Oscars2022 #Oscars"
13,2022-03-31T10:31:05.000Z,1509478382605590530,"When Amy Schumer says she is triggered and traumatized those are buzz words now and it takes away from those that REALLY are. If she truly is, I hope she seeks medical &amp; professional assistance if she can't manage this and she isn't able to function. #Oscars2022"
14,2022-03-31T10:29:19.000Z,1509477936260272128,"Top 5 all-time most awful Oscar stuffups:
5: Hollywood giving Will Smith standing ovation
4: Academy not frogmarching Will Smith out
3: Will Smith dancing night away after assault
2.Will Smith bellowing expletives 
1. Will Smith punching CR
#Oscars2022 #WillSmith #AcademyAwards"
15,2022-03-31T10:29:16.000Z,1509477924382326785,"#Oscars2022 No one is perfect at all Times, Both are acted unintentionally Will got hurt,reacted (wife❣️ )and Chris realised his mistake and stood calm, it's over now.lesson don't criticise anyone on their physical appearance, you never know of their beautiful loving Kind Heart."
16,2022-03-31T10:26:12.000Z,1509477151640330245,@nytimes this is so irrelevant #Oscars2022
17,2022-03-31T10:25:46.000Z,1509477044392009729,"If going bald is an illness, my father have been ill for 34 years and no one ever told him. #Oscars2022"
18,2022-03-31T10:21:47.000Z,1509476039008964613,"A tad ironic that an organisation that depicts violence, murder and war for entertainment in its movies, the Academy of Motion Pictures Arts and Sciences, is apologising to those offended and traumatised by one person slapping another! 🤔#Oscars2022 #bookstagram #humour"
19,2022-03-31T10:21:31.000Z,1509475973158387712,Hard to find a faster way to lose respect than how @NickKyrgios and #WillSmith acted this week. Bitch bois. #Oscars2022 #MiamiOpen
20,2022-03-31T10:17:44.000Z,1509475021370150912,"@willpowerpacker @ShaylaCowan @willpowerpacker The diversity at this year's Oscars did not go unnoticed. I promise. From the hosts to the presenters to the performances. Hats off to you and your team. In the words of @djkhaled, ""You the best!"" #Oscars2022"
21,2022-03-31T10:16:58.000Z,1509474830177148939,Time to change the @batman slapping @robin meme to @willsmith and @chrisrock #meme #oscars2022 #willsmith #chrisrock #slapgate
22,2022-03-31T10:16:32.000Z,1509474719774527497,"I don’t even understand why Amy Schumer is still a thing. She’s not funny and she made racist jokes about rape… but cool, have her host the #Oscars2022 and then have an opinion on “the smack” 
That’s just silly and triggering"
23,2022-03-31T10:16:25.000Z,1509474688229163012,I think I might be an actor because I have naturally memorized from “ GI Jane 2 can’t wait to see it” all the way to “ this is the greatest night on television” #WillAndChris #Oscars2022 #GIJane2
24,2022-03-31T10:11:46.000Z,1509473518919974913,"Honestly, I think it’s great Regina Hall got to host the Oscars. She doesn’t get enough praise. She’s been consistently funny and I grew up seeing her in random rolls here and there. Good for her. #reginahall #oscars #Oscars2022 #WillSmith #ChrisRock #chrisrockwillsmith"
25,2022-03-31T10:09:48.000Z,1509473026634625026,If anyone is still looking for a high-profile celeb to discuss #alopecia #hairloss following the #Oscars2022 please get in touch - we can help! #prrequest #journorequest
26,2022-03-31T10:06:33.000Z,1509472205490601988,"@GMB Who sponsored the #Oscars2022 ? 

Who is about to launch a new #Alopecia drug 🤔 

You all know, but won’t say a Jot about that!"
27,2022-03-31T10:04:39.000Z,1509471730389209089,@nypost WHERE WERE YOU 72 HOURS AGO?! It's done already! War over? COVID? Gas Prices? Insurrection? #seethefaces #KarenMasterClass #StupidSOB #Oscars2022 #ChrisRock #ChrisRockRocks #WillSmith #QL #TBT
28,2022-03-31T10:03:42.000Z,1509471490164633601,Will just made the “ROCK “ brand BIGGER!!! Audience was electric &amp; agog at his first show after the Oscars...🤷🏻‍♂️ #Oscars2022
29,2022-03-31T10:03:27.000Z,1509471425274413057,"In Will Smiths movie king richards he always tells his daughters to stay humble whether u win or lose
and in real life he wasn't abel to handel his temper for 2 minutes.
#ChrisRock #WilllSmith #Oscars2022"
30,2022-03-31T10:02:56.000Z,1509471295502798848,@FoxNews It's done already! War over? COVID? Gas Prices? Insurrection? #seethefaces #KarenMasterClass #StupidSOB #Oscars2022 #ChrisRock #ChrisRockRocks #WillSmith #QL #TBT
31,2022-03-31T10:02:42.000Z,1509471237155737608,@NickKyrgios what a pathetic weak ass bitch boi display at Miami this week. Name a faster way to lose all respect. You and Will Smith should hang out and talk about how emotionally weak cucks you both are #MiamiOpen #Oscars #Oscars2022
0,2022-03-31T11:59:45.000Z,1509500694788780033,@amyschumer @iamwandasykes @willsmith #WillSmith shd have been thrown out by the security at the #Oscars2022  Apparently Will was told to leave but he refused. He doesn't own the building! Really poor behaviour from the #Oscars2022 allowing Will to receive a standing ovation and face no criminal charges for assault
1,2022-03-31T11:59:14.000Z,1509500564199161859,So he was asked to leave and he refused #Oscars2022
2,2022-03-31T11:57:02.000Z,1509500011645747200,"Let no man say when he is tempted, “I am tempted by God,” for God cannot be tempted with evil; neither does He tempt anyone.
James 1:13
God works in miraculous ways not in sin; Judas fell for that deception!
#Qatar2022 #WorldCup2022 #Russia #UkraineWar #Oscars2022 #Pakistan"
3,2022-03-31T11:56:56.000Z,1509499985964019712,"@DailyMailUK Both had massive viewing #PrincePhilip  memorial &amp; #Oscars2022 , so they are having both now.

They have to make a  living to support themselves....
One foot wrong everything will tumble down .......
#MSBNM"
4,2022-03-31T11:56:53.000Z,1509499971829403648,#WillSmith it was not the slap. It was the realisation that you are as poor a character as any piece of shite. BLM is shite. Black elites are the new priveledged.Character is everything and you are a pathetic person of weak character. #Oscars2022
5,2022-03-31T11:54:18.000Z,1509499323591049221,Anyone want to bet that there are already talks underway in Hollywood for GI Jane 2 starring Jada Pinkett Smith? #Oscars2022 #GIJane2 #Jada
6,2022-03-31T11:53:28.000Z,1509499114219839492,"So #ChrisRock apolgozied to #WandaSykes but #WillSmith didn't? 

Yikes! Says so much. 

#Oscars2022"
7,2022-03-31T11:51:35.000Z,1509498639181303811,Let’s agree Will and Chris are both selfish pricks…the slap and Chris’ idiotic joke calling the producers “four white guys” diminished the achievement.#chrisrockwillsmith #SummerOfSoul #Oscars2022
8,2022-03-31T11:48:44.000Z,1509497922567741443,#Oscars2022 : I could not care less. The contrast between that 'story' and the atrocities being suffered by the #Ukrainian  people is brutal. A load of overpampered narcissists knocking war crimes and dire UK response to refugees off the news agenda is shameful.
9,2022-03-31T11:46:49.000Z,1509497438549250053,"In fact, she looked lovely at the Oscars.  There was no reason for her hurt feelings. There was no reason for Will's violence - except his vapid wife's over-sensitivity.  
Can we get past this story now, which has zero impact on the average person's life? #Oscars2022 #WillSmith"
